UserId,Condition,Scenario,Direction,TimeStamp,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.24,25.63,1.614203,0.8682348,-0.9652798,-0.6450844,0.8682348,-0.1995685,359.3001,244.8175,0.1374939,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.26,25.63,1.614208,0.8683206,-0.9652935,-0.6450767,0.8683206,-0.1995809,359.2986,244.8088,0.129311,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.27,25.63,1.614213,0.8683501,-0.9653295,-0.6450652,0.8683501,-0.1996154,359.2971,244.8115,0.1245621,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.28,25.63,1.614252,0.8682998,-0.9654343,-0.6450056,0.8682998,-0.1997102,359.301,244.8229,0.1288645,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.29,25.63,1.614271,0.8681836,-0.9654037,-0.6449932,0.8681836,-0.1996764,359.3024,244.8273,0.1226113,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.30,25.63,1.614273,0.8681656,-0.9654267,-0.6449869,0.8681656,-0.1996987,359.2973,244.8233,0.1302465,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.31,25.63,1.614115,0.8683342,-0.9651849,-0.6451899,0.8683342,-0.1994932,359.3079,244.8203,0.120566,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.32,25.63,1.614096,0.8683432,-0.9651494,-0.6452152,0.8683432,-0.199462,359.3055,244.8166,0.1192535,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.33,25.63,1.614062,0.868311,-0.9652238,-0.6452342,0.868311,-0.1995418,359.3073,244.8259,0.1264657,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Circle,CounterClockWise,2022-12-21_10:42:41.35,25.63,1.614005,0.8682954,-0.9651964,-0.6452954,0.8682954,-0.1995263,359.2984,244.8228,0.1254266,FALSE,1,1.60404,1.00513,-1.029282
